designation,discovery_date,h_mag,moid_au,q_au,Q_au,period_yr,i_deg,pha,orbit_class,a_au,e,tisserand_jupiter,long_period_flag,log_moid_au,log_q_au,log_Q_au,log_period_yr,log_i_deg,log_a_au,log_tisserand_jupiter,orbit_segment,ecc_segment,tisserand_class
P/2010 N1 (WISE),2010-07-05,20.3,0.491,1.49,4.92,5.74,12.88,Unknown,Jupiter-family Comet,3.205,0.5351014040561622,2.9155375202197247,False,0.3994470357826013,0.9122827104766162,1.7783364488959141,1.9080599249242156,2.6304489550786583,1.4362742934249113,1.7086406245552443,Near-Jupiter,Moderate-e,JFC
(2010 MA113),2010-06-25,19.2,0.081,0.89,3.68,3.46,39.85,N,Apollo,2.285,0.6105032822757112,3.081849557993835,False,0.07788653865707124,0.636576829071551,1.5432981099295553,1.4951487660319727,3.709906821306012,1.1893666519365738,1.7383169699541976,Near-Jupiter,High-e,Transition
(2010 MZ112),2010-06-23,19.8,0.221,0.49,3.06,2.36,30.18,N,Apollo,1.775,0.7239436619718311,3.626409239931519,False,0.19967019512856762,0.3987761199573677,1.4011829736136412,1.2119409739751128,3.43977686362963,1.0206507471983977,1.8297490352541064,Inner (NEA),High-e,Asteroidal
(2010 MY112),2010-06-23,21.0,0.156,0.8,1.33,1.1,38.49,N,Apollo,1.065,0.2488262910798122,5.568794778662541,False,0.14496577025018573,0.5877866649021191,0.8458682675776092,0.7419373447293773,3.676047475298558,0.7251302264129961,2.101044986209027,Inner (NEA),Low-e,Stable
(2010 MU112),2010-06-30,20.7,0.0002,0.81,2.71,2.33,48.02,Y,Apollo,1.76,0.5397727272727273,3.609696766348234,False,0.00019998000266626675,0.5933268452777344,1.3110318766193436,1.2029723039923523,3.8922283780999667,1.0152306797290587,1.8270638529652152,Inner (NEA),Moderate-e,Asteroidal
(2010 MU111),2010-06-23,18.7,0.059,0.92,3.86,3.7,41.53,N,Apollo,2.39,0.6150627615062761,2.976067185984021,False,0.05732506661926941,0.6523251860396901,1.5810384379124023,1.547562508716013,3.750209709265542,1.2208299213923588,1.7195436086111369,Near-Jupiter,High-e,JFC
(2010 MR87),2010-06-22,19.5,0.15,1.06,2.41,2.28,34.98,N,Amor,1.735,0.3890489913544668,3.869106475796234,False,0.1397619423751587,0.7227059828014897,1.2267122912954254,1.1878434223960523,3.5829632285223867,1.0061314358739444,1.8679516353659154,Inner (NEA),Moderate-e,Asteroidal
(2010 LU134),2010-06-14,19.5,0.146,0.86,2.93,2.61,27.39,N,Apollo,1.895,0.5461741424802111,3.6420475365388265,False,0.1362776182925478,0.6205764877251099,1.3686394258811698,1.2837077723447894,3.34603697048488,1.0629851110249586,1.8322551170069734,Inner (NEA),Moderate-e,Asteroidal
(2010 LV108),2010-06-14,22.6,0.006,1.01,4.55,4.64,5.43,N,Apollo,2.78,0.6366906474820144,2.993088124009178,False,0.005982071677547464,0.6981347220709844,1.713797927758343,1.7298840655099674,1.860974538249528,1.3297240096314962,1.722588234178154,Near-Jupiter,High-e,JFC
(2010 LU108),2010-06-15,20.0,0.126,0.41,4.08,3.35,9.51,N,Apollo,2.245,0.8173719376391981,3.0629343015457544,False,0.11867152971749864,0.34358970439007686,1.6253112615903904,1.4701758451005926,2.3523271848888596,1.1771153501560532,1.7349858220600451,Near-Jupiter,High-e,Transition
(2010 LT108),2010-06-13,19.7,0.138,0.85,1.85,1.57,31.87,N,Apollo,1.35,0.3703703703703703,4.655732238733912,False,0.12927233570413918,0.6151856390902334,1.0473189942805592,0.9439058989071284,3.4925603876761278,0.8544153281560676,1.982606437848322,Inner (NEA),Moderate-e,Asteroidal
(2010 LO97),2010-06-13,18.7,0.233,1.22,3.94,4.14,21.65,N,Amor,2.58,0.5271317829457364,3.1281954781643653,False,0.20945022418220724,0.7975071958841881,1.597365331199831,1.6370530794670737,3.120159851929043,1.275362800412609,1.7464323082087883,Near-Jupiter,Moderate-e,Transition
(2010 LF86),2010-06-11,17.2,0.318,1.3,3.51,3.73,13.55,N,Amor,2.405,0.4594594594594595,3.336617133219185,False,0.27611543608031547,0.832909122935104,1.5062971535145868,1.5539252025038415,2.6775909936175015,1.2252449396014755,1.7821350127643043,Near-Jupiter,Moderate-e,Transition
(2010 LR68),2010-06-08,18.3,0.216,1.19,4.88,5.29,4.58,N,Amor,3.035,0.6079077429983525,2.922670247036002,False,0.19556678354397525,0.7839015438284094,1.7715567619105355,1.8389610707123492,1.7191887763932194,1.395006301721912,1.709931612038265,Near-Jupiter,High-e,JFC
(2010 LL68),2010-06-12,22.9,0.139,0.98,3.16,2.99,10.48,N,Apollo,2.0700000000000003,0.5265700483091788,3.566935104344016,False,0.1301506844650451,0.6830968447064438,1.425515074273172,1.3837912309017721,2.4406063908914204,1.121677561599106,1.8201603575684626,Near-Jupiter,Moderate-e,Asteroidal
(2010 LK68),2010-06-12,22.5,0.025,0.61,1.73,1.27,22.08,N,Apollo,1.17,0.4786324786324787,5.2163136818820295,False,0.0246926125903715,0.47623417899637155,1.0043016091968684,0.8197798314933114,3.138966441639899,0.7747271675523681,2.056969272460234,Inner (NEA),Moderate-e,Stable
(2010 LJ68),2010-06-11,22.7,0.031,0.97,2.54,2.32,17.01,N,Apollo,1.755,0.4472934472934473,3.95668660710041,False,0.03052920503482287,0.6780335427498971,1.264126727145683,1.199964782928397,2.8909271591878647,1.0134174426048776,1.8813868257011335,Inner (NEA),Moderate-e,Asteroidal
(2010 LG64),2010-06-05,20.2,0.043,1.04,4.3,4.36,42.28,Y,Amor,2.67,0.6104868913857677,2.78736704377428,False,0.04210117601863539,0.712949807856125,1.667706820558076,1.6789639750827106,3.767690634538226,1.3001916620664788,1.6851537662174765,Near-Jupiter,High-e,JFC
(2010 LF64),2010-06-03,21.6,0.192,1.13,1.59,1.59,18.54,N,Amor,1.36,0.1691176470588236,4.779295621048995,False,0.17563256864315802,0.7561219797213337,0.9516578757114464,0.9516578757114464,2.9724636466146364,0.8586616190375187,1.999479182362447,Inner (NEA),Low-e,Asteroidal
(2010 LJ61),2010-06-08,20.9,0.054,0.57,1.59,1.12,10.24,N,Apollo,1.08,0.4722222222222222,5.605455568080648,False,0.05259245011917059,0.4510756193602166,0.9516578757114464,0.7514160886839211,2.419478844465545,0.7323678937132266,2.1055196205551865,Inner (NEA),Moderate-e,Stable
(2010 LQ33),2010-06-04,19.3,0.228,1.23,3.31,3.42,24.63,N,Amor,2.27,0.4581497797356828,3.358461677547916,False,0.2053868297249507,0.8020015854720274,1.4609379041156565,1.4861396960896067,3.2437635403759795,1.184789984909162,1.7858042397733933,Near-Jupiter,Moderate-e,Transition
(2010 LM14),2010-06-02,21.5,0.312,0.69,1.53,1.17,25.92,N,Apollo,1.11,0.3783783783783784,5.453978984140456,False,0.2715526905218973,0.524728528934982,0.9282193027394289,0.7747271675523681,3.292869504776527,0.7466879474879752,2.0869001709762753,Inner (NEA),Moderate-e,Stable
(2010 LH14),2010-06-02,22.0,0.054,0.93,3.46,3.26,4.66,N,Apollo,2.195,0.5763097949886105,3.427427201755075,False,0.05259245011917059,0.6575200029167942,1.4951487660319727,1.449269160281279,1.7334238922150915,1.161587087829498,1.7973008094150509,Near-Jupiter,Moderate-e,Transition
C/2010 L5 (WISE),2010-06-14,20.3,0.114,0.79,15.64,23.56,147.05,Unknown,Halley-type Comet*,8.215,0.9038344491783324,-0.269608278948281,False,0.10795714150509228,0.5822156198526636,2.8118094353930623,3.2011191032789417,4.997550054547601,2.2208325911217863,0.8485705573772881,Main Belt,Very-high-e,
