designation,discovery_date,h_mag,moid_au,q_au,Q_au,period_yr,i_deg,pha,orbit_class,a_au,e,tisserand_jupiter,long_period_flag,log_moid_au,log_q_au,log_Q_au,log_period_yr,log_i_deg,log_a_au,log_tisserand_jupiter,orbit_segment,ecc_segment,tisserand_class
(2010 FA81),2010-03-29,22.3,0.035,1.01,1.38,1.31,15.48,N,Apollo,1.1949999999999998,0.1548117154811715,5.264309623772665,False,0.034401426717332394,0.6981347220709844,0.8671004876833832,0.8372475245337022,2.8021475244813256,0.7861820465271345,2.0630863660800487,Inner (NEA),Low-e,Stable
(2010 FZ80),2010-03-28,20.3,0.297,0.7,4.8,4.56,27.34,N,Apollo,2.75,0.7454545454545454,2.752080736753056,False,0.26005390533430683,0.5306282510621704,1.7578579175523736,1.715598108262491,3.3442742342625342,1.3217558399823195,1.678589626266225,Near-Jupiter,High-e,JFC
(2010 FY80),2010-03-28,19.7,0.14,1.05,4.35,4.42,18.81,N,Amor,2.7,0.6111111111111112,3.0057400610079297,False,0.1310282624064041,0.7178397931503168,1.677096560907915,1.6900958154515546,2.9861868607104594,1.3083328196501787,1.7248453624188325,Near-Jupiter,High-e,Transition
(2010 FX80),2010-03-27,20.6,0.535,1.18,3.15,3.19,36.96,N,Amor,2.165,0.4549653579676674,3.320122189116936,False,0.42853038103916047,0.7793248768009976,1.423108334242607,1.4327007339340463,3.636532973741727,1.1521530555961395,1.7793554090100756,Near-Jupiter,Moderate-e,Transition
(2010 EX119),2010-03-13,19.4,0.159,0.77,3.04,2.63,15.57,N,Apollo,1.905,0.5958005249343832,3.666198099612279,False,0.14755756435761466,0.5709795465857378,1.3962446919730587,1.2892326482767593,2.8075938314384716,1.0664333903038745,1.836113017062296,Inner (NEA),Moderate-e,Asteroidal
(2010 EN44),2010-03-12,24.3,0.023,0.96,1.33,1.22,10.18,N,Apollo,1.145,0.1615720524017467,5.453066607948086,False,0.022739486969489426,0.6729444732424258,0.8458682675776092,0.7975071958841881,2.4141264677269527,0.7631395523799803,2.0867869650147393,Inner (NEA),Low-e,Stable
(2010 EX11),2010-03-03,24.1,0.029,0.85,1.06,0.93,9.75,N,Aten,0.955,0.1099476439790576,6.284622187596598,False,0.02858745685191255,0.6151856390902334,0.7227059828014897,0.6575200029167942,2.3749057545736716,0.6703901934373291,2.1849872633155787,Inner (NEA),Low-e,Stable
C/2010 E3 (WISE),2010-03-05,20.3,1.546,2.27,,,96.48,Unknown,Parabolic Comet,,,,False,0.9345235001352148,1.184789984909162,,,4.579647228757006,,,,,
(2010 DJ77),2010-02-20,21.6,0.05,0.75,1.16,0.93,24.98,Y,Aten,0.955,0.2146596858638743,6.203835459972687,False,0.048790164169432014,0.5596157879354227,0.7701082216960736,0.6575200029167942,3.2573270112424533,0.6703901934373291,2.1758589025469917,Inner (NEA),Low-e,Stable
(2010 DH77),2010-02-19,21.8,0.146,0.95,5.58,5.9,34.38,N,Apollo,3.265,0.7090352220520674,2.51497241349524,False,0.1362776182925478,0.6678293725756554,1.8840347453372257,1.9315214116032138,3.566146688731639,1.4504421809436425,1.6333273816362626,Near-Jupiter,High-e,JFC
(2010 DG77),2010-02-19,21.4,0.009,0.96,3.22,3.02,14.81,Y,Apollo,2.09,0.5406698564593302,3.519245265046215,False,0.008959741371471904,0.6729444732424258,1.4398351280479205,1.3912819026309295,2.7606426512213806,1.128171090909654,1.8124046163669818,Near-Jupiter,Moderate-e,Asteroidal
(2010 DM56),2010-02-19,19.9,0.006,0.92,1.69,1.49,25.61,Y,Apollo,1.305,0.2950191570881226,4.847950800486707,False,0.005982071677547464,0.6523251860396901,0.9895411936137477,0.9122827104766162,3.281287084989598,0.8350806764486118,2.0087325462080874,Inner (NEA),Low-e,Asteroidal
(2010 DJ56),2010-02-23,19.3,0.028,0.94,1.56,1.4,34.84,Y,Apollo,1.25,0.248,4.939669848436755,False,0.027615167032973363,0.6626879730752367,0.9400072584914712,0.8754687373538999,3.57906458810673,0.8109302162163288,2.0209623559741536,Inner (NEA),Low-e,Asteroidal
(2010 DH56),2010-02-20,20.3,0.333,0.97,3.51,3.35,33.67,N,Apollo,2.24,0.5669642857142858,3.2213294716837955,False,0.2874320411965716,0.6780335427498971,1.5062971535145868,1.4701758451005926,3.545874759696932,1.1755733298042381,1.7625439212044767,Near-Jupiter,Moderate-e,Transition
C/2010 DG56 (WISE),2010-02-18,20.3,0.65,1.59,133.48,555.03,160.42,Unknown,Comet,67.535,0.9764566521063152,-1.3878822956334862,True,0.5007752879124893,0.9516578757114464,4.90141548910036,6.320822249629497,5.084009663896226,4.227344563683344,0.1972354838092383,Outer,Very-high-e,
(2010 DK34),2010-02-20,20.4,0.333,0.65,4.83,4.54,27.34,N,Apollo,2.74,0.7627737226277371,2.7317628683199757,False,0.2874320411965716,0.5007752879124893,1.763017000362401,1.7119945007591924,3.3442742342625342,1.3190856114264407,1.6747903517686764,Near-Jupiter,High-e,JFC
(2010 DM21),2010-02-16,20.2,0.26,0.98,4.74,4.85,21.15,N,Apollo,2.8600000000000003,0.6573426573426573,2.8606458971262883,False,0.2311117209633866,0.6830968447064438,1.747459210331475,1.766441661243765,3.0978374964911444,1.3506671834767396,1.698649355645735,Near-Jupiter,High-e,JFC
C/2010 D4 (WISE),2010-02-28,20.3,6.373,7.15,122.19,520.06,105.66,Unknown,Comet,64.67,0.8894386887273851,-0.7897458464783926,True,1.9978246790075136,2.0980179272527715,4.813727878973882,6.255865198270393,4.669646205172456,4.184642200202881,0.5967283919237917,Outer,High-e,
C/2010 D3 (WISE),2010-02-26,20.3,3.586,4.25,23255.11,1254179.62,76.39,Unknown,Comet,11629.68,0.9996345557229434,0.6020940781536398,True,1.5230081844357126,1.6582280766035322,10.054323172189685,14.041993024890665,4.348857573282368,9.361401713278932,1.165649936655304,Extreme,Very-high-e,HTC/Parabolic
P/2010 D2 (WISE),2010-02-25,20.3,2.945,3.66,9.72,17.3,57.18,Unknown,Jupiter-family Comet*,6.69,0.452914798206278,1.8734787726681896,False,1.3724489542978375,1.5390154481375544,2.372111155642656,2.906901059847375,4.063541653067055,2.0399207835175526,1.4994873010038938,Main Belt,Moderate-e,HTC/Parabolic
P/2010 D1 (WISE),2010-02-17,20.3,1.683,2.67,5.63,8.45,9.65,Unknown,Jupiter-family Comet,4.15,0.3566265060240963,2.898614785005175,False,0.9869355714434871,1.3001916620664788,1.891604804197771,2.2460147415056513,2.365559892155434,1.6389967146756448,1.7055710106601902,Near-Jupiter,Moderate-e,JFC
(2010 CN141),2010-02-14,22.4,0.06,0.91,2.12,1.87,23.8,N,Apollo,1.515,0.3993399339933993,4.337893546224565,False,0.05826890812397578,0.6471032420585385,1.137833001821391,1.0543120297715298,3.2108436531709366,0.9222728035517025,1.9378501364370184,Inner (NEA),Moderate-e,Asteroidal
(2010 CP140),2010-02-13,19.5,0.097,0.88,2.92,2.62,14.47,N,Apollo,1.9,0.5368421052631579,3.7244501561223498,False,0.0925791812930932,0.6312717768418579,1.366091653802371,1.2864740258376797,2.7389026645849746,1.0647107369924282,1.845357625541404,Inner (NEA),Moderate-e,Asteroidal
(2010 CC55),2010-02-11,22.5,0.079,0.82,2.27,1.92,6.78,N,Apollo,1.545,0.4692556634304208,4.321647933011413,False,0.07603468627599762,0.5988365010887039,1.184789984909162,1.0715836162801904,2.0515563381903004,0.934130650002486,1.9355078121690388,Inner (NEA),Moderate-e,Asteroidal
(2010 CA55),2010-02-05,21.3,0.151,0.67,9.89,12.13,58.85,N,Apollo,5.28,0.8731060606060607,1.4930932385193478,False,0.1406311297397456,0.5128236264286637,2.387844936944869,2.5748996883147046,4.091841432003982,1.8373699804801074,1.410744594980454,Main Belt,High-e,HTC/Parabolic
(2010 CH18),2010-02-09,19.0,0.333,1.12,4.09,4.21,27.15,N,Amor,2.605,0.5700575815738963,3.031052711157137,False,0.2874320411965716,0.7514160886839211,1.6272778305624314,1.6505798557652755,3.3375473545856993,1.2823217707369123,1.729345949167668,Near-Jupiter,Moderate-e,Transition
(2010 CG18),2010-02-06,20.8,0.13,1.11,1.76,1.73,10.15,N,Amor,1.435,0.2264808362369337,4.631018444117513,False,0.12221763272424921,0.7466879474879752,1.0152306797290587,1.0043016091968684,2.4114394979061275,0.8899467565345531,1.9791973007098849,Inner (NEA),Low-e,Asteroidal
(2010 CO1),2010-02-01,21.5,0.023,0.79,1.23,1.02,24.03,Y,Apollo,1.01,0.2178217821782178,5.934225404496802,False,0.022739486969489426,0.5822156198526636,0.8020015854720274,0.7030975114131134,3.2200751054436827,0.6981347220709844,2.1447772294028398,Inner (NEA),Low-e,Stable
P/2010 B2 (WISE),2010-01-22,20.3,0.63,1.62,4.6,5.49,8.93,Unknown,Encke-type Comet,3.11,0.4790996784565915,3.01320917028732,False,0.48858001481867097,0.9631743177730054,1.7227665977411033,1.8702625307159986,2.295560478057081,1.413423028508143,1.7261754772248066,Near-Jupiter,Moderate-e,Transition
(2010 AU118),2010-01-13,17.7,0.147,1.13,2.12,2.06,43.73,N,Amor,1.625,0.3046153846153847,3.969502326109731,False,0.13714983814723364,0.7561219797213337,1.137833001821391,1.1184149159642893,3.8006444174447567,0.965080896043587,1.8833377631734185,Inner (NEA),Moderate-e,Asteroidal
(2010 AG79),2010-01-13,19.9,0.244,1.22,4.59,4.95,32.96,N,Amor,2.905,0.5800344234079174,2.8117319600453543,False,0.2183319943169877,0.7975071958841881,1.7209792871670078,1.7833912195575383,3.5251833614431467,1.3622577832916491,1.6896612356399157,Near-Jupiter,Moderate-e,JFC
(2010 AB78),2010-01-12,18.3,0.206,1.02,3.49,3.38,33.26,N,Amor,2.255,0.5476718403547672,3.227439407496991,False,0.1873090983049937,0.7030975114131134,1.501852701754163,1.4770487243883548,3.5339784928959737,1.1801922756605325,1.7635918842458778,Near-Jupiter,Moderate-e,Transition
